#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-27.14       0.00345891      0.00238444      0.00425933      0.00345891      0.00238444      0.00425933      
-27.13       0.00346179      0.00238609      0.00426325      0.00346179      0.00238609      0.00426325      
-27.12       0.00346467      0.00238774      0.00426718      0.00346467      0.00238774      0.00426718      
-27.11       0.00346755      0.0023894      0.00427111      0.00346755      0.0023894      0.00427111      
-27.1       0.00347044      0.00239105      0.00427504      0.00347044      0.00239105      0.00427504      
-27.09       0.00347333      0.00239271      0.00427898      0.00347333      0.00239271      0.00427898      
-27.08       0.00347623      0.00239437      0.00428293      0.00347623      0.00239437      0.00428293      
-27.07       0.00347913      0.00239603      0.00428688      0.00347913      0.00239603      0.00428688      
-27.06       0.00348203      0.0023977      0.00429084      0.00348203      0.0023977      0.00429084      
-27.05       0.00348493      0.00239936      0.0042948      0.00348493      0.00239936      0.0042948      
-27.04       0.00348784      0.00240103      0.00429877      0.00348784      0.00240103      0.00429877      
-27.03       0.00349076      0.0024027      0.00430274      0.00349076      0.0024027      0.00430274      
-27.02       0.00349367      0.00240437      0.00430672      0.00349367      0.00240437      0.00430672      
-27.01       0.00349659      0.00240604      0.00431071      0.00349659      0.00240604      0.00431071      
-27       0.00349952      0.00240771      0.0043147      0.00349952      0.00240771      0.0043147      
-26.99       0.00350245      0.00240939      0.00431869      0.00350245      0.00240939      0.00431869      
-26.98       0.00350538      0.00241107      0.00432269      0.00350538      0.00241107      0.00432269      
-26.97       0.00350831      0.00241275      0.0043267      0.00350831      0.00241275      0.0043267      
-26.96       0.00351125      0.00241443      0.00433071      0.00351125      0.00241443      0.00433071      
-26.95       0.0035142      0.00241611      0.00433473      0.0035142      0.00241611      0.00433473      
-26.94       0.00351714      0.00241779      0.00433875      0.00351714      0.00241779      0.00433875      
-26.93       0.00352009      0.00241948      0.00434278      0.00352009      0.00241948      0.00434278      
-26.92       0.00352305      0.00242117      0.00434682      0.00352305      0.00242117      0.00434682      
-26.91       0.00352601      0.00242286      0.00435086      0.00352601      0.00242286      0.00435086      
-26.9       0.00352897      0.00242455      0.00435491      0.00352897      0.00242455      0.00435491      
-26.89       0.00353193      0.00242624      0.00435896      0.00353193      0.00242624      0.00435896      
-26.88       0.0035349      0.00242794      0.00436302      0.0035349      0.00242794      0.00436302      
-26.87       0.00353787      0.00242964      0.00436708      0.00353787      0.00242964      0.00436708      
-26.86       0.00354085      0.00243133      0.00437115      0.00354085      0.00243133      0.00437115      
-26.85       0.00354383      0.00243304      0.00437522      0.00354383      0.00243304      0.00437522      
-26.84       0.00354682      0.00243474      0.0043793      0.00354682      0.00243474      0.0043793      
-26.83       0.0035498      0.00243644      0.00438339      0.0035498      0.00243644      0.00438339      
-26.82       0.0035528      0.00243815      0.00438748      0.0035528      0.00243815      0.00438748      
-26.81       0.00355579      0.00243986      0.00439158      0.00355579      0.00243986      0.00439158      
