#(w-mu)    jm_3by2_m3by2     jm_3by2_3by2     jm_3by2_m1by2       jm_3by2_1by2     jm_1by2_m1by2   jm_1by2_1by2
-18.71       0.00535076      0.515007      0.00121706      0.00355638      0.000549688      0.0011997      
-18.705       0.00541995      0.585363      0.00121383      0.00352941      0.000549089      0.0011912      
-18.7       0.0054905      0.671243      0.00121065      0.00350279      0.000548506      0.00118281      
-18.695       0.00556246      0.777537      0.00120751      0.00347651      0.000547938      0.00117453      
-18.69       0.00563584      0.911194      0.00120442      0.00345057      0.000547385      0.00116636      
-18.685       0.0057107      1.08236      0.00120136      0.00342497      0.000546847      0.00115829      
-18.68       0.00578707      1.30627      0.00119835      0.00339969      0.000546325      0.00115033      
-18.675       0.005865      1.60657      0.00119538      0.00337473      0.000545817      0.00114248      
-18.67       0.00594452      2.02145      0.00119245      0.00335009      0.000545325      0.00113472      
-18.665       0.00602568      2.61533      0.00118955      0.00332576      0.000544847      0.00112707      
-18.66       0.00610852      3.50251      0.0011867      0.00330173      0.000544383      0.00111951      
-18.655       0.0061931      4.89724      0.00118389      0.003278      0.000543935      0.00111205      
-18.65       0.00627945      7.22167      0.00118112      0.00325457      0.0005435      0.00110469      
-18.645       0.00636764      11.3152      0.00117838      0.00323143      0.00054308      0.00109741      
-18.64       0.00645772      18.5381      0.00117569      0.00320857      0.000542674      0.00109023      
-18.635       0.00654972      28.4141      0.00117303      0.00318599      0.000542283      0.00108314      
-18.63       0.00664373      31.1125      0.00117041      0.00316368      0.000541905      0.00107614      
-18.625       0.00673978      22.3274      0.00116783      0.00314165      0.000541542      0.00106923      
-18.62       0.00683794      13.6754      0.00116528      0.00311988      0.000541192      0.0010624      
-18.615       0.00693828      8.53776      0.00116277      0.00309838      0.000540856      0.00105565      
-18.61       0.00704086      5.65732      0.0011603      0.00307713      0.000540534      0.00104899      
-18.605       0.00714574      3.96855      0.00115787      0.00305614      0.000540226      0.00104241      
-18.6       0.007253      2.91783      0.00115547      0.0030354      0.000539931      0.00103591      
-18.595       0.0073627      2.22765      0.0011531      0.0030149      0.000539649      0.00102949      
-18.59       0.00747493      1.75305      0.00115078      0.00299465      0.000539381      0.00102315      
-18.585       0.00758976      1.41403      0.00114848      0.00297463      0.000539127      0.00101689      
-18.58       0.00770727      1.16404      0.00114623      0.00295485      0.000538885      0.0010107      
-18.575       0.00782754      0.974742      0.001144      0.00293529      0.000538657      0.00100458      
-18.57       0.00795067      0.828128      0.00114181      0.00291597      0.000538442      0.00099854      
-18.565       0.00807674      0.712361      0.00113966      0.00289687      0.00053824      0.00099257      
-18.56       0.00820585      0.619417      0.00113754      0.00287798      0.000538051      0.00098667      
-18.555       0.00833809      0.543705      0.00113545      0.00285932      0.000537875      0.000980841      
-18.55       0.00847358      0.481241      0.0011334      0.00284086      0.000537712      0.000975081      
-18.545       0.00861241      0.429122      0.00113138      0.00282262      0.000537561      0.000969388      
-18.54       0.0087547      0.385199      0.00112939      0.00280459      0.000537423      0.000963762      
-18.535       0.00890056      0.347849      0.00112744      0.00278676      0.000537298      0.000958202      
-18.53       0.00905012      0.315833      0.00112552      0.00276912      0.000537186      0.000952707      
-18.525       0.00920349      0.288188      0.00112363      0.00275169      0.000537086      0.000947275      
-18.52       0.00936082      0.26416      0.00112177      0.00273445      0.000536999      0.000941906      
-18.515       0.00952223      0.24315      0.00111994      0.00271741      0.000536924      0.0009366      
-18.51       0.00968787      0.224678      0.00111815      0.00270055      0.000536861      0.000931354      
-18.505       0.00985789      0.208356      0.00111638      0.00268388      0.000536811      0.000926169      
-18.5       0.0100325      0.193867      0.00111465      0.00266739      0.000536773      0.000921043      
-18.495       0.0102117      0.18095      0.00111295      0.00265108      0.000536747      0.000915976      
-18.49       0.0103958      0.169391      0.00111128      0.00263495      0.000536733      0.000910966      
-18.485       0.010585      0.159009      0.00110964      0.002619      0.000536732      0.000906013      
-18.48       0.0107794      0.149653      0.00110803      0.00260322      0.000536742      0.000901116      
-18.475       0.0109792      0.141196      0.00110645      0.00258761      0.000536765      0.000896275      
-18.47       0.0111847      0.133529      0.0011049      0.00257217      0.000536799      0.000891488      
-18.465       0.011396      0.126561      0.00110338      0.00255689      0.000536846      0.000886754      
