#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-19.25       0.00569585      0.00569585      0.0155154      0.00111307      0.00111307      0.00218042      
-19.245       0.0057729      0.0057729      0.0152494      0.00111886      0.00111886      0.00216316      
-19.24       0.00585173      0.00585173      0.0149908      0.00112476      0.00112476      0.00214611      
-19.235       0.00593239      0.00593239      0.0147392      0.00113078      0.00113078      0.00212927      
-19.23       0.00601494      0.00601494      0.0144944      0.00113693      0.00113693      0.00211264      
-19.225       0.00609945      0.00609945      0.0142561      0.0011432      0.0011432      0.0020962      
-19.22       0.00618597      0.00618597      0.0140241      0.00114959      0.00114959      0.00207997      
-19.215       0.00627459      0.00627459      0.0137982      0.0011561      0.0011561      0.00206393      
-19.21       0.00636536      0.00636536      0.0135782      0.00116274      0.00116274      0.00204809      
-19.205       0.00645836      0.00645836      0.0133638      0.0011695      0.0011695      0.00203243      
-19.2       0.00655367      0.00655367      0.0131549      0.00117638      0.00117638      0.00201696      
-19.195       0.00665136      0.00665136      0.0129512      0.00118338      0.00118338      0.00200168      
-19.19       0.00675153      0.00675153      0.0127526      0.00119051      0.00119051      0.00198657      
-19.185       0.00685426      0.00685426      0.012559      0.00119776      0.00119776      0.00197165      
-19.18       0.00695963      0.00695963      0.01237      0.00120513      0.00120513      0.0019569      
-19.175       0.00706775      0.00706775      0.0121857      0.00121263      0.00121263      0.00194232      
-19.17       0.00717872      0.00717872      0.0120058      0.00122026      0.00122026      0.00192791      
-19.165       0.00729264      0.00729264      0.0118301      0.00122801      0.00122801      0.00191367      
-19.16       0.00740961      0.00740961      0.0116586      0.0012359      0.0012359      0.00189959      
-19.155       0.00752976      0.00752976      0.0114912      0.00124391      0.00124391      0.00188568      
-19.15       0.0076532      0.0076532      0.0113276      0.00125205      0.00125205      0.00187192      
-19.145       0.00778007      0.00778007      0.0111677      0.00126032      0.00126032      0.00185832      
-19.14       0.00791048      0.00791048      0.0110115      0.00126873      0.00126873      0.00184488      
-19.135       0.00804459      0.00804459      0.0108589      0.00127727      0.00127727      0.00183159      
-19.13       0.00818253      0.00818253      0.0107096      0.00128594      0.00128594      0.00181845      
-19.125       0.00832446      0.00832446      0.0105637      0.00129475      0.00129475      0.00180546      
-19.12       0.00847054      0.00847054      0.010421      0.0013037      0.0013037      0.00179262      
-19.115       0.00862094      0.00862094      0.0102814      0.00131278      0.00131278      0.00177992      
-19.11       0.00877584      0.00877584      0.0101448      0.00132201      0.00132201      0.00176736      
-19.105       0.00893542      0.00893542      0.0100111      0.00133138      0.00133138      0.00175494      
-19.1       0.00909989      0.00909989      0.00988031      0.00134089      0.00134089      0.00174266      
-19.095       0.00926944      0.00926944      0.00975226      0.00135055      0.00135055      0.00173051      
-19.09       0.0094443      0.0094443      0.0096269      0.00136036      0.00136036      0.0017185      
-19.085       0.0096247      0.0096247      0.00950414      0.00137031      0.00137031      0.00170662      
-19.08       0.00981089      0.00981089      0.00938391      0.00138042      0.00138042      0.00169487      
-19.075       0.0100031      0.0100031      0.00926613      0.00139068      0.00139068      0.00168325      
-19.07       0.0102017      0.0102017      0.00915075      0.0014011      0.0014011      0.00167175      
-19.065       0.0104068      0.0104068      0.00903769      0.00141167      0.00141167      0.00166038      
-19.06       0.0106188      0.0106188      0.00892689      0.0014224      0.0014224      0.00164913      
-19.055       0.0108381      0.0108381      0.00881828      0.0014333      0.0014333      0.00163801      
-19.05       0.011065      0.011065      0.00871181      0.00144436      0.00144436      0.001627      
-19.045       0.0112998      0.0112998      0.00860742      0.00145559      0.00145559      0.00161611      
-19.04       0.0115429      0.0115429      0.00850505      0.00146699      0.00146699      0.00160533      
-19.035       0.0117947      0.0117947      0.00840465      0.00147855      0.00147855      0.00159467      
-19.03       0.0120557      0.0120557      0.00830616      0.0014903      0.0014903      0.00158412      
-19.025       0.0123263      0.0123263      0.00820954      0.00150222      0.00150222      0.00157369      
-19.02       0.0126071      0.0126071      0.00811474      0.00151432      0.00151432      0.00156336      
-19.015       0.0128984      0.0128984      0.00802171      0.0015266      0.0015266      0.00155314      
-19.01       0.013201      0.013201      0.0079304      0.00153907      0.00153907      0.00154303      
-19.005       0.0135154      0.0135154      0.00784077      0.00155173      0.00155173      0.00153302      
-19       0.0138422      0.0138422      0.00775278      0.00156458      0.00156458      0.00152312      
-18.995       0.0141822      0.0141822      0.00766639      0.00157763      0.00157763      0.00151332      
-18.99       0.014536      0.014536      0.00758155      0.00159088      0.00159088      0.00150362      
-18.985       0.0149044      0.0149044      0.00749823      0.00160432      0.00160432      0.00149402      
-18.98       0.0152882      0.0152882      0.00741639      0.00161798      0.00161798      0.00148452      
-18.975       0.0156885      0.0156885      0.007336      0.00163184      0.00163184      0.00147511      
-18.97       0.016106      0.016106      0.00725701      0.00164592      0.00164592      0.00146581      
-18.965       0.0165419      0.0165419      0.0071794      0.00166021      0.00166021      0.00145659      
-18.96       0.0169973      0.0169973      0.00710313      0.00167472      0.00167472      0.00144747      
-18.955       0.0174733      0.0174733      0.00702817      0.00168946      0.00168946      0.00143844      
-18.95       0.0179713      0.0179713      0.00695449      0.00170443      0.00170443      0.0014295      
-18.945       0.0184927      0.0184927      0.00688206      0.00171963      0.00171963      0.00142066      
-18.94       0.019039      0.019039      0.00681085      0.00173506      0.00173506      0.0014119      
-18.935       0.0196118      0.0196118      0.00674082      0.00175074      0.00175074      0.00140323      
-18.93       0.0202129      0.0202129      0.00667196      0.00176667      0.00176667      0.00139464      
-18.925       0.0208442      0.0208442      0.00660424      0.00178285      0.00178285      0.00138614      
-18.92       0.0215079      0.0215079      0.00653763      0.00179928      0.00179928      0.00137772      
-18.915       0.0222062      0.0222062      0.0064721      0.00181597      0.00181597      0.00136939      
-18.91       0.0229415      0.0229415      0.00640764      0.00183293      0.00183293      0.00136114      
-18.905       0.0237167      0.0237167      0.00634421      0.00185016      0.00185016      0.00135297      
-18.9       0.0245347      0.0245347      0.0062818      0.00186767      0.00186767      0.00134487      
-18.895       0.0253987      0.0253987      0.00622038      0.00188546      0.00188546      0.00133686      
-18.89       0.0263123      0.0263123      0.00615993      0.00190353      0.00190353      0.00132893      
-18.885       0.0272795      0.0272795      0.00610042      0.00192191      0.00192191      0.00132107      
-18.88       0.0283045      0.0283045      0.00604185      0.00194058      0.00194058      0.00131329      
-18.875       0.0293922      0.0293922      0.00598419      0.00195955      0.00195955      0.00130558      
-18.87       0.0305478      0.0305478      0.00592741      0.00197884      0.00197884      0.00129795      
-18.865       0.0317771      0.0317771      0.0058715      0.00199845      0.00199845      0.00129039      
-18.86       0.0330867      0.0330867      0.00581645      0.00201838      0.00201838      0.0012829      
-18.855       0.0344837      0.0344837      0.00576222      0.00203864      0.00203864      0.00127549      
-18.85       0.0359762      0.0359762      0.00570882      0.00205925      0.00205925      0.00126814      
-18.845       0.0375733      0.0375733      0.00565621      0.0020802      0.0020802      0.00126087      
-18.84       0.0392848      0.0392848      0.00560439      0.0021015      0.0021015      0.00125366      
-18.835       0.0411223      0.0411223      0.00555333      0.00212317      0.00212317      0.00124652      
-18.83       0.0430984      0.0430984      0.00550302      0.0021452      0.0021452      0.00123945      
-18.825       0.0452277      0.0452277      0.00545345      0.00216762      0.00216762      0.00123244      
-18.82       0.0475263      0.0475263      0.0054046      0.00219042      0.00219042      0.0012255      
-18.815       0.050013      0.050013      0.00535646      0.00221361      0.00221361      0.00121863      
-18.81       0.0527089      0.0527089      0.00530901      0.00223721      0.00223721      0.00121182      
-18.805       0.0556384      0.0556384      0.00526223      0.00226122      0.00226122      0.00120507      
-18.8       0.0588294      0.0588294      0.00521612      0.00228565      0.00228565      0.00119838      
-18.795       0.0623142      0.0623142      0.00517066      0.00231052      0.00231052      0.00119176      
-18.79       0.06613      0.06613      0.00512585      0.00233582      0.00233582      0.0011852      
-18.785       0.0703204      0.0703204      0.00508165      0.00236158      0.00236158      0.0011787      
-18.78       0.0749362      0.0749362      0.00503808      0.0023878      0.0023878      0.00117225      
